state,year,white,black,native,asian,hispanic,male,female,0,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
CT,2002,2668303,325672,9129,101928,353717,1678249,1780500,41994,175275,238119,252593,232848,193805,190223,241267,277934,296765,270509,234718,199907,141107,114970,111006,99954,77377,68378
AZ,2010,3764409,270460,270092,199761,1903590,3184759,3223553,86575,366761,452965,449207,459823,446875,439874,418616,414258,408528,426122,417208,377448,354200,285108,217249,163107,119534,104854
NJ,2012,5214806,1183356,16816,808543,1649690,4325913,4547298,104659,430509,560511,579241,590127,558327,563265,571464,562875,632538,678416,687084,605773,497545,394085,277783,213449,176478,189082
MS,2010,1737285,1107844,14444,28810,81939,1443131,1527191,39621,170314,205239,208396,223181,212650,198960,189367,186665,187832,207548,208763,187622,162347,120912,94239,70015,51951,44700
MT,2016,916502,8779,69337,10062,37840,524775,517745,12644,50385,63879,62956,63639,73410,66847,66127,63628,55817,58801,66873,76994,75480,65560,44567,31317,20821,22775
KS,2006,2246477,171521,27837,65469,251627,1368839,1394092,39345,153862,191333,196898,207663,212607,172701,170436,175758,194812,208950,193700,166960,118498,93711,79965,72373,57740,55619
ND,2010,605317,9928,37603,7875,13803,341003,333523,9030,35798,40386,39795,47518,59066,49999,41404,37066,38159,45939,50211,46318,36288,26169,20807,18277,15518,16778
KS,2000,2261945,162441,26626,52036,190633,1331181,1362500,38430,150351,194851,204968,210971,191190,171830,176022,206639,213334,193867,163119,122471,99110,89772,85671,75253,53783,52049
IA,2012,2727796,109128,9841,66558,162987,1526277,1550033,38483,158885,203731,201779,213701,224096,193639,196029,173629,186259,199403,222979,211615,182086,136900,103621,83520,68648,77307
KY,2016,3815376,384212,9977,71889,155520,2186553,2250421,54810,220943,279336,281854,287950,305701,297342,277969,281710,271320,289109,307743,310802,279668,244308,167379,120548,80393,78089
IN,2006,5311567,584556,16947,95242,324357,3114466,3218203,87074,342863,437119,454143,469646,450986,412971,399289,429589,463686,482820,440819,390539,283688,223873,181071,158700,120473,103320
WA,2014,5115597,319812,109726,656937,852124,3521110,3533086,87976,357170,449894,437952,438746,494537,509811,505886,458396,459758,454618,493417,483198,430695,349638,240302,160273,113511,128418
ND,2012,623793,12617,38882,9110,17685,357166,344921,10017,37699,44035,40396,47977,64593,52218,46795,38351,38797,42524,50055,48311,39502,28984,21049,18089,15219,17476
MO,2004,4796887,676920,29765,88121,156048,2805056,2942685,76447,298769,378177,417069,419842,414298,354963,371944,384131,449512,436211,385109,329754,263967,211691,182226,157195,116229,100207
TX,2016,12097757,3395051,103405,1385259,10881124,13831432,14031164,405899,1613272,2038319,2029062,1970588,2005169,2069842,2015886,1913015,1813272,1780264,1738749,1682947,1433072,1188003,820446,566859,390142,387790
NJ,2014,5141059,1193793,16845,850616,1722688,4355535,4569466,103611,426590,551541,574477,577004,575951,569079,579218,565973,604037,646127,687067,634777,516573,421615,305363,221128,170583,194287
VA,2010,5290529,1589980,23834,483101,638329,3939333,4086440,100887,409642,512446,512277,550713,574094,566775,530568,537628,569288,620275,594956,516424,446422,322712,231457,174260,131367,123582
CT,2016,2451338,381247,9603,171916,562348,1745615,1830837,36202,149119,201909,222842,247426,247820,220179,221842,212996,210009,249599,274551,273130,231425,188340,135628,93443,70064,89928
KY,2010,3792755,357156,9247,55545,133959,2139717,2208945,55104,227123,282815,284640,296375,293401,285147,282249,283852,291685,322707,319888,289652,253306,186387,140504,105530,78600,69697
CT,2012,2549531,366795,9321,155823,512325,1751393,1842402,37197,157294,217672,234752,257342,231427,220931,214620,207544,249008,278384,287778,257914,209654,168057,113997,87671,74913,87640
